date,region,store,sale,price,salerep,endcap,demo,demo13,demo45
5/4/2009,1,28,150.7,4.39,0,no,0,0,0
5/11/2009,1,28,197.4,4,0,no,0,0,0
5/18/2009,1,28,235.11,3.81,0,no,0,0,0
5/25/2009,1,28,226.69,3.84,0,no,0,0,0
6/1/2009,1,28,257.69,3.9,0,no,0,0,0
6/8/2009,1,28,132.96,4.5,0,no,0,0,0
6/15/2009,1,28,221.89,4.12,0,no,0,0,0
6/22/2009,1,28,245.88,4.12,0,no,0,0,0
6/29/2009,1,28,156.1,4.12,0,no,0,0,0
7/6/2009,1,28,200.1,3.75,0,no,0,0,0
7/13/2009,1,28,128.4,4.01,0,no,0,0,0
5/4/2009,1,7,142.78,4.39,0,no,0,0,0
5/11/2009,1,7,237.54,4.24,0,no,0,0,0
5/18/2009,1,7,141.53,3.81,0,no,0,0,0
5/25/2009,1,7,158.07,3.81,0,no,0,0,0
6/1/2009,1,7,255.12,4.06,0,no,0,0,0
6/8/2009,1,7,129.79,4.38,0,no,0,0,0
6/15/2009,1,7,137.76,4.36,0,no,0,0,0
6/22/2009,1,7,306.79,4.36,0,no,0,0,0
6/29/2009,1,7,103.32,4.36,0,no,0,0,0
7/6/2009,1,7,240.23,4.01,0,no,0,0,0
7/13/2009,1,7,190.02,4.01,0,no,0,0,0
5/4/2009,1,41,149.77,4.52,0,no,0,0,0
5/11/2009,1,41,223.61,3.72,0,no,0,0,0
5/18/2009,1,41,216.37,3.79,0,no,0,0,0
5/25/2009,1,41,205.53,3.9,0,no,0,0,0
6/1/2009,1,41,131.63,4.04,0,no,0,0,0
6/8/2009,1,41,199.93,4.41,0,yes,0,0,0
6/15/2009,1,41,217.95,4.36,0,yes,0,0,0
6/22/2009,1,41,139.61,4.39,0,yes,0,0,0
6/29/2009,1,41,106.42,4.52,0,yes,0,0,0
7/6/2009,1,41,203.74,3.9,0,yes,0,0,0
7/13/2009,1,41,159.43,4.19,0,no,0,0,0
5/4/2009,1,103,305.18,4.49,0,no,0,0,1
5/11/2009,1,103,235.46,4.4,0,no,0,0,1
5/18/2009,1,103,239.69,3.81,0,no,0,0,0
5/25/2009,1,103,220.95,4.06,0,no,0,0,0
6/1/2009,1,103,233.33,3.96,0,no,0,0,0
6/8/2009,1,103,143.79,3.69,0,no,0,0,0
6/15/2009,1,103,192.92,4.64,0,no,0,0,0
